CountyName,ResponseTime,EmergencyStations,Population,Area,Urban
Houston,5.5,48,2310000,669,1
Boston,6.4,29,684379,90,1
SanAntonio,6.5,65,1508000,505,1
LasVegas,6.8,73,634773,136,1
DC,6.9,41,692683,68,1
SanJose,7.1,59,1028000,181,1
Austin,7.2,85,950807,272,1
SanFrancisco,7.4,106,874961,47,1
Dallas,7.8,127,1331000,383,1
NewYorkCity,8.1,132,8419000,303,1
Seattle,10,141,724305,84,1
Philadelphia,10.9,83,1579000,142,1
Denver,11.6,47,705576,155,1
LA,4.73,124,3967000,503,1
Wyoming,35.73,41,578759,97818,0.5
Montana,22.56,74,1069000,147040,0.5
NorthDakota,21.5,50,762062,70762,0.5
Kansas,21.31,90,2913000,82277,0.5
ClayCounty,11.48,27,219252,644,0.5
NapaCounty,15,30,137744,789,1